"ccn","total_discharges","drg_100","drg_101","total_beds_min","total_beds_max","cec","num_neuro_afl_1","num_neuro_afl_2"
"010001",5548,21,18,375.3,442,0,13,3
"010005",2057,0,14,187.9,218,0,4,5
"010006",4099,22,0,253,384,0,6,4
"010007",321,0,0,40,44,0,1,2
"010008",49,0,0,37,37.3,0,1,1
"010011",2160,0,0,328,376.7,0,5,1
"010012",573,0,0,70,93.3,0,2,1
"010016",1734,0,12,240,303,0,6,3
"010018",38,0,0,6,11.4,0,2,1
"010019",2156,0,0,190,206,0,2,1
"010021",208,0,0,48.3,71,0,2,1
"010022",136,0,0,43,56,0,1,1
"010023",3265,16,28,507.9,733,0,11,3
"010024",2989,14,23,289,299,0,6,4
"010029",3457,11,12,287,363.4,0,11,1
"010033",10999,34,115,1379,1514.6,1,78,4
"010034",13,0,0,50,55,0,2,1
"010035",2094,0,0,185,186.3,0,2,4
"010036",920,0,0,59,73,0,1,2
"010038",570,0,0,45,80.1,0,1,1
"010039",13432,35,70,1067,2190,0,31,41
"010040",3042,0,12,189.3,233.3,0,3,1
"010044",139,0,0,24,27.3,0,1,1
"010045",123,0,0,0,34,0,1,3
"010046",1825,0,22,166.6,198,0,2,1
"010047",11,0,0,0,17,0,1,1
"010049",624,0,0,72,109,0,1,3
"010051",47,0,0,8.1,18.1,0,2,2
"010052",76,0,0,34,35.4,0,1,2
"010055",3318,17,18,232,254,0,8,4
"010056",4158,12,21,476,596,0,12,1
"010058",11,0,0,29,34,0,2,1
"010059",66,0,0,34,39,0,1,2
"010061",496,0,0,73,112.7,0,2,1
"010062",135,0,0,56,68.1,0,1,1
"010065",392,0,0,53,66.1,0,4,5
"010069",118,0,0,47.4,50.1,0,2,1
"010073",245,0,0,37,48.3,0,2,1
"010078",3019,0,16,181.7,241.9,0,5,1
"010079",861,0,0,105.9,127.3,0,1,2
"010083",1397,0,0,144,149.9,0,1,1
"010085",2709,0,11,293,323.9,0,5,1
"010086",262,0,0,52,55.3,0,2,1
"010087",749,17,31,218,283,0,10,1
"010089",1057,0,0,177,187,0,3,1
"010090",2875,0,13,288,314,0,5,2
"010091",34,0,0,47.7,48.3,0,1,1
"010092",8281,36,50,496.9,585,0,10,4
"010095",18,0,0,25.1,27,0,2,1
"010097",125,0,0,37,37,0,1,1
"010099",302,0,0,50,65.9,0,1,1
"010100",2294,0,11,208,224,0,15,7
"010101",316,0,0,59.9,85,0,1,3
"010102",13,0,0,25,27.9,0,2,1
"010103",2515,17,32,290.7,343,0,3,3
"010104",4722,28,28,387.6,500.9,0,16,4
"010108",618,0,0,82,117.3,0,1,7
"010109",68,0,0,8,18,0,2,1
"010110",113,0,0,64.9,77,0,1,1
"010112",93,0,0,61.6,76,0,1,1
"010113",6008,22,41,552,558.9,0,13,4
"010114",785,0,0,154,206,0,4,2
"010118",979,12,0,116,136.7,0,2,1
"010120",67,0,0,59,69,0,2,1
"010125",549,0,0,56,61,0,1,1
"010126",237,0,0,46.6,61.7,0,2,1
"010128",100,0,0,24.7,32,0,2,1
"010129",111,0,0,69.4,75,0,1,1
"010130",302,0,0,53,57.7,0,1,1
"010131",2977,0,11,241,245,0,2,5
"010138",42,0,0,31,35,0,1,1
"010139",2026,0,14,321.3,422.4,0,5,2
"010144",1966,0,14,234,378,0,10,1
"010148",505,0,0,16.1,39,0,2,6
"010149",1036,0,0,221,265.3,0,2,2
"010150",83,0,0,38,53,0,1,1
"010157",163,0,0,108,127,0,2,2
"010158",382,0,0,28,54,0,1,1
"010164",373,0,0,103.3,105,0,1,1
"010168",956,0,0,41.1,58,0,1,1
"010169",159,0,0,49.1,55,0,1,1
"010173",12,0,0,43,49,0,2,1
"010174",15,0,0,41,45.9,0,1,1
"010175",134,0,0,33.3,43.3,0,2,1
"011300",417,0,0,28,34,0,2,2
"011302",359,0,0,24.7,38.9,0,2,1
"011304",265,0,0,35,35,0,1,1
"011305",1002,0,0,43,56.4,0,6,3
"011306",46,0,0,23.6,24.3,0,2,1
"012006",46,0,0,21.9,31,0,1,1
"012007",47,0,0,11,30,0,2,2
"012008",240,0,0,38,38,0,1,1
"012009",1026,0,0,23.8,34,0,2,1
"012010",182,0,0,30.3,34.4,0,2,1
