"ccn","impute_discharge","impute_drg100","impute_drg101","impute_neuro1","impute_neuro2","total_discharges","drg_100","drg_101","total_beds_min","total_beds_max","cec","num_neuro_afl_1","num_neuro_afl_2","zip","estimation"
"010001",0,0,0,0,0,5548,21,18,375.3,442,0,13,3,36301,764
"010005",0,0,0,0,0,2057,0,14,187.9,218,0,4,5,35957,335
"010006",0,0,0,0,1,4099,22,0,253,384,0,6,4,35630,533
"010007",0,0,0,0,0,321,0,0,40,44,0,1,2,36467,50
"010008",0,0,0,1,1,49,0,0,37,37.3,0,1,1,36049,24
"010011",0,0,0,0,0,2160,0,0,328,376.7,0,5,1,35235,308
"010012",0,0,0,0,0,573,0,0,70,93.3,0,2,1,35968,72
"010016",0,0,0,0,0,1734,0,12,240,303,0,6,3,35007,332
"010018",1,1,1,1,1,38,0,0,6,11.4,0,2,1,35233,11
"010019",0,0,0,1,1,2156,0,0,190,206,0,2,1,35660,204
"010021",0,0,0,0,0,208,0,0,48.3,71,0,2,1,36360,45
"010022",0,0,0,0,1,136,0,0,43,56,0,1,1,35960,32
"010023",0,0,0,0,0,3265,16,28,507.9,733,0,11,3,36116,781
"010024",0,0,0,0,1,2989,14,23,289,299,0,6,4,36106,561
"010029",0,0,0,0,0,3457,11,12,287,363.4,0,11,1,36801,500
"010034",0,0,0,1,1,13,0,0,50,55,0,2,1,36078,36
"010035",0,0,0,0,0,2094,0,0,185,186.3,0,2,4,35058,237
"010036",0,0,0,0,1,920,0,0,59,73,0,1,2,36420,85
"010038",0,0,0,1,1,570,0,0,45,80.1,0,1,1,36201,53
"010039",0,0,0,0,1,13432,35,70,1067,2190,0,31,41,35801,2564
"010040",0,0,0,0,0,3042,0,12,189.3,233.3,0,3,1,35903,306
"010044",0,0,0,1,1,139,0,0,24,27.3,0,1,1,35570,20
"010045",0,0,0,0,0,123,0,0,0,34,0,1,3,35555,35
"010046",0,0,0,0,0,1825,0,22,166.6,198,0,2,1,35901,288
"010047",0,0,0,1,1,11,0,0,0,17,0,1,1,36033,2
"010049",0,0,0,0,0,624,0,0,72,109,0,1,3,36330,98
"010051",0,0,0,1,1,47,0,0,8.1,18.1,0,2,2,35462,27
"010052",0,0,0,1,1,76,0,0,34,35.4,0,1,2,36853,36
"010055",0,0,0,0,1,3318,17,18,232,254,0,8,4,36305,546
"010056",0,0,0,0,0,4158,12,21,476,596,0,12,1,35205,702
"010058",0,0,0,1,1,11,0,0,29,34,0,2,1,35042,24
"010059",0,0,0,0,1,66,0,0,34,39,0,1,2,35650,37
"010061",0,0,0,0,0,496,0,0,73,112.7,0,2,1,35768,73
"010062",0,0,0,0,1,135,0,0,56,68.1,0,1,1,36340,40
"010065",0,0,0,1,1,392,0,0,53,66.1,0,4,5,35010,119
"010069",0,0,0,1,1,118,0,0,47.4,50.1,0,2,1,36027,39
"010073",0,0,0,1,1,245,0,0,37,48.3,0,2,1,36251,38
"010078",0,0,0,0,0,3019,0,16,181.7,241.9,0,5,1,36207,333
"010079",0,0,0,0,0,861,0,0,105.9,127.3,0,1,2,35611,112
"010083",0,0,0,0,1,1397,0,0,144,149.9,0,1,1,36535,140
"010085",0,0,0,0,0,2709,0,11,293,323.9,0,5,1,35601,360
"010086",0,0,0,0,1,262,0,0,52,55.3,0,2,1,35594,47
"010087",0,0,0,0,1,749,17,31,218,283,0,10,1,36617,480
"010089",0,0,0,0,1,1057,0,0,177,187,0,3,1,35502,159
"010090",0,0,0,0,0,2875,0,13,288,314,0,5,2,36608,386
"010091",0,0,0,1,1,34,0,0,47.7,48.3,0,1,1,36451,30
"010092",0,0,0,0,0,8281,36,50,496.9,585,0,10,4,35401,1194
"010095",0,0,0,1,1,18,0,0,25.1,27,0,2,1,36744,21
"010097",0,0,0,1,1,125,0,0,37,37,0,1,1,36092,27
"010099",0,0,0,1,1,302,0,0,50,65.9,0,1,1,36426,43
"010100",0,0,0,1,1,2294,0,11,208,224,0,15,7,36532,429
"010101",0,0,0,1,1,316,0,0,59.9,85,0,1,3,35161,77
"010102",0,0,0,1,1,13,0,0,25,27.9,0,2,1,36726,21
"010103",0,0,0,0,0,2515,17,32,290.7,343,0,3,3,35211,581
"010104",0,0,0,0,0,4722,28,28,387.6,500.9,0,16,4,35243,870
"010108",0,0,0,0,0,618,0,0,82,117.3,0,1,7,36067,157
"010109",0,0,0,1,1,68,0,0,8,18,0,2,1,35447,14
"010110",0,0,0,1,1,113,0,0,64.9,77,0,1,1,36089,44
"010112",0,0,0,0,0,93,0,0,61.6,76,0,1,1,36732,42
"010113",0,0,0,0,0,6008,22,41,552,558.9,0,13,4,36607,1014
"010114",0,0,0,0,0,785,0,0,154,206,0,4,2,35021,159
"010118",0,0,0,0,1,979,12,0,116,136.7,0,2,1,36701,191
"010120",0,0,0,1,1,67,0,0,59,69,0,2,1,36460,45
"010125",0,0,0,1,1,549,0,0,56,61,0,1,1,35565,55
